"","X5.F2t.IsoP","X10.F4.NeuroP","X13.F4.NeuroP","X16.F1.PhytoP"
"ARM1",-0.976443450832161,-1.380688788622,-0.8162124024991,-0.801725792033618
"ARM2",-1.00480784566169,-1.07685298154786,-1.07095568386892,-1.09564190537522
"ARM3",-0.327065361732377,-0.651717334605877,-1.225387278357,-0.831424776030116
"ARM4",-0.905431522851483,-0.897202958487096,-0.910765764593124,-1.08461144160636
"ARM5",-1.19606562894724,-1.14106523878644,-1.01900557980579,-0.616562033035721
"BRM1",-0.00632563016364248,-0.582454675112572,0.121267909136574,-0.970462075632968
"BRM2",-0.729289640369203,1.0795785954631,1.7072691182415,0.442886769904781
"BRM4",0.599117929222438,0.91336624983008,2.0542707771885,0.0641810338552839
"BRM5",-0.411351018966018,0.446835341550305,0.260177062892535,-0.139671805414553
"CRM1",2.92825364948991,0.182951823741177,0.38039252458401,2.7986669262293
"CRM2",-0.0660069413485408,0.213975723305887,-0.591929824716497,0.585059476263927
"CRM3",0.173424889739119,-0.827218812957403,-0.999226985969704,0.0659080775767834
"CRM4",0.85258054636456,-0.50985514270097,-0.371027133222338,0.0577148999218131
"CRM5",1.05721299980995,-0.0508998378032758,1.18609899796155,0.546622473438414
"DRM1",-0.659539473724358,1.9083856797645,0.68533337638592,-0.60686797214659
"DRM2",-0.39320689095674,-0.264008775801557,-0.599941407029847,-0.640493924605069
"DRM4",0.464790817409663,0.748596876269835,0.626748680719543,1.18078675995969
"DRM5",0.600152573517821,1.88827425650017,0.582893612952191,1.04563530873022
